企业名称,流动比率,速动比率,资产负债率(%),营业收入增长率(%),净利润增长率(%),ROA(%),ROE(%),销售毛利率(%)
华辰科技,1.78,1.37,74.7,12.0,14.4,9.25,8.14,35.4
蓝海能源,2.04,1.65,39.0,5.0,-7.3,11.81,16.79,19.4
恒基制造,2.57,1.86,63.1,18.5,-3.8,2.67,13.98,20.0
中远物流,1.39,0.99,36.3,11.9,10.9,12.19,13.83,39.8
新锐电子,1.85,1.49,54.7,4.0,39.9,13.95,19.28,42.1
绿源环保,1.57,0.98,47.4,-5.0,27.8,7.1,19.39,31.1
天工机械,2.54,1.72,35.0,1.0,35.3,7.9,21.67,31.5
丰泰食品,1.21,1.46,68.5,3.6,-7.5,6.32,21.39,43.8
远景通信,1.28,1.0,39.3,-5.4,29.4,4.54,14.51,33.2
奥维医疗,1.39,1.58,40.6,19.7,-5.9,7.34,8.62,27.2
