日期,沪深300ETF,中证500ETF,国债ETF
2023-01-02,-0.000532,0.025089,-0.001366
2023-01-03,-0.020873,0.005352,0.001532
2023-01-04,0.005661,0.009925,9.4e-05
2023-01-05,-0.005807,-0.010087,-7.1e-05
2023-01-06,-0.003032,0.017142,0.001633
2023-01-09,-0.013502,0.013602,0.000346
2023-01-10,0.015186,0.026612,0.001528
2023-01-11,-0.019721,0.013006,-0.002732
2023-01-12,0.020752,-0.008101,3.6e-05
2023-01-13,0.023851,-0.025943,0.000478
2023-01-16,-0.011197,-0.005849,-0.001194
2023-01-17,0.010083,-0.002318,0.00112
2023-01-18,0.009599,-0.025131,0.003252
2023-01-19,-0.001152,-0.024253,-0.00091
2023-01-20,0.01244,0.018824,-0.000969
2023-01-23,0.003105,0.006507,0.002525
2023-01-24,0.000223,0.018544,-0.001382
2023-01-25,-0.006912,0.01346,0.001902
2023-01-26,0.001303,0.012482,0.000853
2023-01-27,0.011274,0.021605,0.00149
2023-01-30,0.011923,-0.003764,-0.000703
2023-01-31,-0.026868,0.009323,0.000497
2023-02-01,0.008406,-0.027858,-0.000558
2023-02-02,-0.004929,-0.026771,0.002283
2023-02-03,0.016836,-0.018115,0.00134
2023-02-06,0.02301,-0.017137,0.002449
2023-02-07,0.021344,0.033137,-0.00235
2023-02-08,-0.011137,0.006083,0.002892
2023-02-09,-0.013523,-0.009613,-0.001846
2023-02-10,0.015464,-0.006468,0.001605
2023-02-13,0.009823,0.021665,0.001289
2023-02-14,0.006062,0.021646,0.001409
2023-02-15,-0.013599,-0.006122,0.002289
2023-02-16,0.003619,-0.003095,0.000935
2023-02-17,0.042655,0.001851,0.001424
2023-02-20,0.007529,-0.001762,0.002878
2023-02-21,0.012451,0.009228,-0.002339
2023-02-22,0.017412,0.015237,0.000265
2023-02-23,-0.031239,0.001715,-0.002055
2023-02-24,-0.000924,-0.005702,-0.001268
2023-02-27,0.014376,0.004539,0.00297
2023-02-28,-0.009988,-0.000468,0.003232
2023-03-01,0.005914,-0.009252,-0.001395
2023-03-02,-0.005408,0.001275,0.001845
2023-03-03,0.00369,0.015052,0.002156
2023-03-06,0.003365,0.023851,0.001947
2023-03-07,-0.00038,-5.1e-05,0.000394
2023-03-08,-0.007213,-0.019401,0.000507
2023-03-09,-0.004435,0.012274,-0.000796
2023-03-10,0.003088,0.005903,-0.000537
2023-03-13,0.004253,-0.009252,-0.000452
2023-03-14,0.011736,0.009,0.000418
2023-03-15,-0.007825,0.014043,0.004524
2023-03-16,-0.024977,0.019864,0.000869
2023-03-17,0.015386,0.021766,-0.001665
2023-03-20,0.023263,-0.007156,-9.2e-05
2023-03-21,0.009558,0.001175,0.00097
2023-03-22,-0.004539,-0.014489,0.000455
2023-03-23,-0.011632,0.024611,0.000919
2023-03-24,0.01911,-0.017939,-0.003853
2023-03-27,-0.02629,-0.003689,-0.00223
2023-03-28,0.006216,-0.021437,-0.00243
2023-03-29,0.005253,-0.003954,0.001809
2023-03-30,0.011753,0.008353,-0.002083
2023-03-31,-0.008889,0.039732,-5.3e-05
2023-04-03,0.005387,0.004565,0.00036
2023-04-04,-0.000325,-0.006738,-0.000647
2023-04-05,-0.023032,0.029917,0.000191
2023-04-06,-0.014386,0.011015,0.001784
2023-04-07,-0.016,-0.006013,0.00348
2023-04-10,0.008465,0.00952,0.002457
2023-04-11,0.000172,-0.002323,0.003684
2023-04-12,-0.000479,0.001223,0.001723
2023-04-13,0.002199,-0.017742,0.004296
2023-04-14,0.000896,0.031967,0.001456
2023-04-17,-0.009407,0.02788,5.6e-05
2023-04-18,-0.008796,0.002046,-0.003983
2023-04-19,0.006764,-0.009428,-0.0001
2023-04-20,-0.009183,0.013618,0.001149
2023-04-21,0.01508,0.029807,0.000991
2023-04-24,0.002922,0.00752,-0.001253
2023-04-25,-0.004948,0.014882,-0.001348
2023-04-26,-0.022056,-0.003266,0.000936
2023-04-27,0.019851,-0.00923,-0.001504
2023-04-28,0.002951,-5.4e-05,0.000922
2023-05-01,-0.004583,0.005741,-0.000777
2023-05-02,0.013849,0.007029,0.001579
2023-05-03,-0.003659,-0.02102,0.000432
2023-05-04,0.001087,0.020456,0.002381
2023-05-05,0.001289,0.001695,-0.00162
2023-05-08,0.001216,0.005879,-0.000445
2023-05-09,-0.011562,0.023344,-0.001489
2023-05-10,0.021975,0.021711,0.003553
2023-05-11,-0.008681,0.01263,-0.002439
2023-05-12,-0.002743,-0.022536,-0.001098
2023-05-15,-0.004493,0.018009,0.002595
2023-05-16,-0.002861,-0.002309,-0.001527
2023-05-17,-0.012301,-0.026764,-5.1e-05
2023-05-18,0.008882,-0.01019,0.00113
2023-05-19,-0.012463,-0.014079,-0.000702
2023-05-22,0.012375,-0.006289,0.001937
2023-05-23,-0.002713,-0.015768,-0.0037
2023-05-24,-0.004214,-0.013391,0.002215
2023-05-25,0.006923,-0.024395,0.002081
2023-05-26,0.00802,-0.044928,-0.001746
2023-05-29,0.00448,-0.023694,-0.001106
2023-05-30,0.007828,0.006166,0.001279
2023-05-31,0.008933,-0.012162,0.005198
2023-06-01,0.007831,0.036746,-0.000173
2023-06-02,0.008286,0.007623,6.1e-05
2023-06-05,0.005278,0.006267,0.002005
2023-06-06,0.005343,0.003005,0.001345
2023-06-07,0.018986,0.003236,0.001582
2023-06-08,0.003153,-0.029611,-0.001458
2023-06-09,-0.009656,-0.020374,-0.000892
2023-06-12,-0.019908,0.006402,-0.000726
2023-06-13,0.01626,0.008221,-0.00221
2023-06-14,-0.001218,0.002768,-0.001013
2023-06-15,-0.002947,-0.015434,-0.00112
2023-06-16,0.00475,-0.003347,0.002779
2023-06-19,-0.02415,-0.010795,-0.000398
2023-06-20,0.019189,0.019864,0.001863
2023-06-21,0.01311,0.027545,0.001696
2023-06-22,-0.001493,0.00483,-0.001115
2023-06-23,-0.00141,0.00782,-0.000676
2023-06-26,0.002524,-0.005121,-0.002311
2023-06-27,-0.016049,0.012912,0.000388
2023-06-28,0.011214,0.000132,0.000296
2023-06-29,0.004409,-0.003687,0.003078
2023-06-30,0.013236,0.008063,-0.00178
2023-07-03,-0.005286,0.004953,0.002625
2023-07-04,0.000611,0.001156,0.001344
2023-07-05,0.002463,-0.000963,-0.001965
2023-07-06,0.015745,0.000644,-0.000751
2023-07-07,-0.000265,-0.019775,-0.003081
2023-07-10,-0.020455,0.00731,-0.00238
2023-07-11,0.002239,-0.017672,-0.003296
2023-07-12,-0.006557,-0.010574,-0.001126
2023-07-13,0.021516,0.004409,-0.000937
2023-07-14,0.011219,-0.00396,0.002676
2023-07-17,-0.017978,0.018476,-0.001923
2023-07-18,-0.008053,0.004351,-0.001909
2023-07-19,-0.01897,-0.005244,-0.000367
2023-07-20,-0.019005,0.016627,-0.001418
2023-07-21,-0.006793,-0.002713,0.000318
2023-07-24,0.013293,-0.033481,0.000232
2023-07-25,0.011234,0.004727,6.3e-05
2023-07-26,-0.012775,0.006272,-0.000762
2023-07-27,0.002184,-0.016049,-0.000424
2023-07-28,-0.001192,-0.022825,0.002266
2023-07-31,-0.00094,-0.019726,-0.000299
2023-08-01,0.002076,-0.00466,-0.001865
2023-08-02,-0.002179,-0.020924,-0.003128
2023-08-03,0.014613,0.028093,0.003932
2023-08-04,0.027638,0.02252,-0.001663
2023-08-07,-0.006286,0.018434,-0.000741
2023-08-08,-0.003712,0.000502,0.001042
2023-08-09,-0.015873,0.001313,0.00118
2023-08-10,-0.024105,0.018819,0.001738
2023-08-11,-0.009259,0.030111,0.001038
2023-08-14,0.006259,0.025563,-0.00495
2023-08-15,0.000612,0.017848,0.003044
2023-08-16,8.4e-05,-0.002133,-0.001333
2023-08-17,-0.003505,-0.012945,-0.004603
2023-08-18,-0.006545,-0.015342,-0.001002
2023-08-21,-0.005004,-0.006997,0.000401
2023-08-22,-0.000313,-0.005001,-0.00104
2023-08-23,-0.000774,-0.004236,-6.4e-05
2023-08-24,0.017055,0.004646,-0.000598
2023-08-25,-0.024163,-0.022486,-0.005721
2023-08-28,0.011047,0.018398,-0.000614
2023-08-29,-0.00513,0.008372,0.001342
2023-08-30,-0.020383,-0.003312,-0.000432
2023-08-31,-0.014663,0.02342,0.001697
2023-09-01,-0.006793,4.1e-05,-0.000906
2023-09-04,-0.005595,-0.005532,0.002243
2023-09-05,0.000545,-0.006806,-0.00117
2023-09-06,0.003609,-0.013215,-0.003035
2023-09-07,-0.001197,0.02622,-0.001166
2023-09-08,0.002386,-0.002387,0.002653
2023-09-11,0.006188,-0.019546,0.003688
2023-09-12,0.00057,-0.013885,-0.000812
2023-09-13,0.001222,0.018024,-0.000366
2023-09-14,-0.008418,0.022005,0.003339
2023-09-15,-0.003792,0.002979,0.000945
2023-09-18,-0.003161,-0.013886,0.002286
2023-09-19,-0.01268,-0.02861,0.001365
2023-09-20,0.014423,0.013845,-0.001343
2023-09-21,-0.002467,-0.016696,-0.000854
2023-09-22,-0.029045,-0.013188,0.002962
2023-09-25,-0.013586,0.028484,0.000547
2023-09-26,-0.02311,0.015905,-0.001716
2023-09-27,0.007141,-0.002049,-0.000503
2023-09-28,-0.001611,-0.020334,-0.001322
2023-09-29,-0.004313,0.029343,-0.000952
2023-10-02,0.004449,0.008123,0.002663
2023-10-03,-0.002276,0.004095,-0.001662
2023-10-04,0.031044,-0.023093,0.000724
2023-10-05,-0.003626,0.00354,-0.000847
2023-10-06,-0.004839,0.016754,0.002124
2023-10-09,-0.000292,-0.001294,0.000586
2023-10-10,-0.000316,0.007994,0.001743
2023-10-11,0.006298,-0.024399,0.00011
2023-10-12,-0.012207,0.00809,-0.000363
2023-10-13,0.004236,-0.00045,0.002099
2023-10-16,0.016948,0.003764,-0.002768
2023-10-17,0.00072,0.032924,-0.001153
2023-10-18,-0.000272,0.040285,0.003621
2023-10-19,0.008439,0.004672,-0.002421
2023-10-20,0.020428,0.015721,-0.003157
2023-10-23,-0.000745,-0.000988,0.000102
2023-10-24,-0.007279,0.040929,-0.001524
2023-10-25,0.018307,0.011243,0.000249
2023-10-26,0.006129,0.013018,-0.00133
2023-10-27,-0.003752,0.020507,0.00213
2023-10-30,0.005465,-0.018084,-0.003027
2023-10-31,0.018742,0.024385,0.001273
2023-11-01,0.005517,-0.004086,0.001252
2023-11-02,0.015227,0.013446,-0.000844
2023-11-03,0.005124,-0.007395,0.000105
2023-11-06,-0.012456,-0.036704,-0.001849
2023-11-07,0.003077,-0.011493,0.001337
2023-11-08,-0.005939,0.005986,-0.000677
2023-11-09,0.018111,-0.005155,0.000296
2023-11-10,0.014574,0.025073,-0.002072
2023-11-13,0.018514,-0.015823,-0.001681
2023-11-14,-0.009236,0.017391,-0.001875
2023-11-15,0.007873,0.007974,-0.000124
2023-11-16,0.006378,0.034485,0.003484
2023-11-17,-0.00921,0.005592,-0.00052
2023-11-20,-0.000718,-0.007284,0.001359
2023-11-21,-0.00934,-0.018541,0.000365
2023-11-22,0.004754,0.020691,0.001615
2023-11-23,-0.009472,-0.013377,0.000916
2023-11-24,0.004083,0.012992,0.002915
2023-11-27,-0.025955,-0.008491,0.001367
2023-11-28,-0.011974,0.028073,0.000101
2023-11-29,0.008096,-0.001915,0.00098
2023-11-30,0.005759,0.010074,-0.002473
2023-12-01,-0.021964,6.2e-05,0.001863
2023-12-04,-0.002021,-0.001243,0.002413
2023-12-05,0.008817,-0.013723,0.000609
2023-12-06,-0.00156,0.002417,0.000123
2023-12-07,0.007981,0.001231,0.000959
2023-12-08,0.001373,-0.001853,-0.000855
2023-12-11,0.004274,0.008591,0.003433
2023-12-12,0.030706,-0.00924,-0.001019
2023-12-13,0.013583,-0.005143,0.00054
2023-12-14,-0.014101,0.011043,-0.002621
2023-12-15,0.012995,-0.011795,0.000752
