日期,收盘价
2023-01-02,49.8
2023-01-03,50.29
2023-01-04,50.11
2023-01-05,49.86
2023-01-06,49.05
2023-01-09,48.9
2023-01-10,49.9
2023-01-11,50.31
2023-01-12,51.28
2023-01-13,51.54
2023-01-16,51.94
2023-01-17,52.15
2023-01-18,50.61
2023-01-19,51.42
2023-01-20,51.92
2023-01-23,52.42
2023-01-24,50.86
2023-01-25,49.29
2023-01-26,48.53
2023-01-27,48.15
2023-01-30,48.44
2023-01-31,48.43
2023-02-01,48.92
2023-02-02,48.38
2023-02-03,48.68
2023-02-06,49.05
2023-02-07,48.5
2023-02-08,50.03
2023-02-09,50.56
2023-02-10,51.68
2023-02-13,51.13
2023-02-14,50.48
2023-02-15,50.2
2023-02-16,50.13
2023-02-17,50.73
2023-02-20,50.99
2023-02-21,50.61
2023-02-22,49.77
2023-02-23,49.33
2023-02-24,50.45
2023-02-27,49.74
2023-02-28,49.99
2023-03-01,50.41
2023-03-02,49.08
2023-03-03,49.16
2023-03-06,50.34
2023-03-07,48.55
2023-03-08,48.3
2023-03-09,48.23
2023-03-10,47.55
2023-03-13,48.01
2023-03-14,47.98
2023-03-15,46.74
2023-03-16,47.47
2023-03-17,48.07
2023-03-20,48.92
2023-03-21,50.21
2023-03-22,50.57
2023-03-23,50.71
2023-03-24,49.56
2023-03-27,50.13
2023-03-28,49.61
2023-03-29,49.24
2023-03-30,48.15
2023-03-31,47.34
2023-04-03,46.91
2023-04-04,48.03
2023-04-05,46.3
2023-04-06,45.11
2023-04-07,45.34
2023-04-10,46.54
2023-04-11,47.05
2023-04-12,45.47
2023-04-13,43.44
2023-04-14,43.74
2023-04-17,43.19
2023-04-18,42.35
2023-04-19,43.12
2023-04-20,44.0
2023-04-21,44.15
2023-04-24,44.37
2023-04-25,44.74
2023-04-26,46.05
2023-04-27,46.59
2023-04-28,47.06
2023-05-01,47.55
2023-05-02,46.24
2023-05-03,47.33
2023-05-04,48.17
2023-05-05,48.66
2023-05-08,46.96
2023-05-09,46.45
2023-05-10,47.19
2023-05-11,45.68
2023-05-12,45.55
2023-05-15,46.42
2023-05-16,45.35
2023-05-17,46.69
2023-05-18,47.18
2023-05-19,47.08
2023-05-22,47.39
2023-05-23,47.97
2023-05-24,48.1
2023-05-25,49.12
2023-05-26,48.57
2023-05-29,48.23
2023-05-30,49.17
2023-05-31,49.22
2023-06-01,48.47
2023-06-02,49.32
2023-06-05,50.65
2023-06-06,50.28
2023-06-07,49.06
2023-06-08,48.97
2023-06-09,48.87
2023-06-12,48.64
2023-06-13,49.89
2023-06-14,49.0
2023-06-15,50.14
2023-06-16,49.03
2023-06-19,48.36
2023-06-20,48.94
2023-06-21,49.97
2023-06-22,50.77
2023-06-23,51.11
2023-06-26,51.28
2023-06-27,51.45
2023-06-28,52.01
2023-06-29,51.88
2023-06-30,52.17
2023-07-03,52.74
2023-07-04,52.77
2023-07-05,53.53
2023-07-06,54.1
2023-07-07,56.09
2023-07-10,56.46
2023-07-11,56.06
2023-07-12,55.71
2023-07-13,55.73
2023-07-14,56.69
2023-07-17,56.38
2023-07-18,56.81
2023-07-19,58.72
2023-07-20,56.05
2023-07-21,54.95
2023-07-24,55.22
2023-07-25,55.65
2023-07-26,55.92
2023-07-27,55.52
2023-07-28,56.21
2023-07-31,56.53
2023-08-01,56.03
2023-08-02,58.52
2023-08-03,58.93
2023-08-04,58.37
2023-08-07,58.3
2023-08-08,58.1
2023-08-09,58.07
2023-08-10,55.25
2023-08-11,54.8
2023-08-14,55.83
2023-08-15,54.69
2023-08-16,54.66
2023-08-17,55.63
2023-08-18,56.52
2023-08-21,58.07
2023-08-22,56.33
2023-08-23,56.0
2023-08-24,55.69
2023-08-25,56.35
2023-08-28,57.49
2023-08-29,54.75
2023-08-30,55.86
2023-08-31,54.43
2023-09-01,55.14
2023-09-04,53.69
2023-09-05,53.89
2023-09-06,55.08
2023-09-07,54.97
2023-09-08,55.19
2023-09-11,56.01
2023-09-12,56.19
2023-09-13,56.13
2023-09-14,57.72
2023-09-15,58.84
2023-09-18,58.56
2023-09-19,61.49
2023-09-20,60.26
2023-09-21,61.29
2023-09-22,61.03
2023-09-25,61.21
2023-09-26,62.03
2023-09-27,62.31
2023-09-28,63.07
2023-09-29,61.37
2023-10-02,59.74
2023-10-03,60.44
2023-10-04,59.43
2023-10-05,58.36
2023-10-06,56.85
2023-10-09,58.18
2023-10-10,59.0
2023-10-11,60.6
2023-10-12,59.61
2023-10-13,59.65
2023-10-16,58.46
2023-10-17,59.3
2023-10-18,61.04
2023-10-19,60.09
2023-10-20,61.82
2023-10-23,62.96
2023-10-24,62.79
2023-10-25,60.6
2023-10-26,62.17
2023-10-27,62.1
2023-10-30,61.46
2023-10-31,61.94
2023-11-01,62.44
2023-11-02,64.16
2023-11-03,63.02
2023-11-06,64.35
2023-11-07,66.11
2023-11-08,67.87
2023-11-09,67.69
2023-11-10,66.83
2023-11-13,68.09
2023-11-14,68.28
2023-11-15,68.47
2023-11-16,70.27
2023-11-17,69.97
2023-11-20,67.12
2023-11-21,66.7
2023-11-22,64.51
2023-11-23,65.5
2023-11-24,65.91
2023-11-27,65.23
2023-11-28,65.26
2023-11-29,66.27
2023-11-30,66.41
2023-12-01,68.03
2023-12-04,68.0
2023-12-05,69.31
2023-12-06,71.21
2023-12-07,73.32
2023-12-08,72.48
2023-12-11,73.67
2023-12-12,71.23
2023-12-13,69.88
2023-12-14,67.45
2023-12-15,68.79
